X7R62AA#ABB;"HP ProDisplay P223A - LED monitor - 21.5"" (21.5"" viewable) - 1920 x 1080 Full HD (1080p) - VA - 250 cd/mz - 3000:1 - 5 ms - VGA. DisplayPort - speakers - black";139.49;
LS22F350FHUXEN;"Samsung SF350 Series S22F350FHU - LED monitor - 22"" - 1920 x 1080 Full HD (1080p) - TN - 200 cd/mz - 1000:1 - 5 ms - HDMI. VGA - shiny black";100;
M2470SWDA2;"AOC Value M2470SWDA2 - LED monitor - 23.6"" - 1920 x 1080 Full HD (1080p) - MVA - 250 cd/mz - 1000:1 - 5 ms - DVI-D. VGA - speakers - black";98.7;
PL T1731SR-B1;"Iiyama ProLite T1731SR-B1 - LCD monitor - 17"" - touchscreen - 1280 x 1024 - TN - 200 cd/mz - 900:1 - 5 ms - DVI-D. VGA - speakers - black";372.16;
LS24E65UPL/EN;"Samsung SE650 Series S24E650PL - LED monitor - 23.6"" - 1920 x 1080 Full HD (1080p) - Plane to Line Switching (PLS) - 250 cd/mz - 1000:1 - 4 ms - HDMI. VGA. DisplayPort - speakers - black";150.6;
On-Lap 1503H;"GeChic On-Lap 1503H - LED monitor - 15.6"" - portable - 1920 x 1080 Full HD (1080p) - IPS - 300 cd/mz - 700:1 - 12.5 ms - Micro HDMI - speakers - black. bluish black";326.52;
LS24D330HSX/EN;"Samsung SD300 Series S24D330H - LED monitor - 24"" - 1920 x 1080 Full HD (1080p) - TN - 250 cd/mz - 1000:1 - 1 ms - HDMI. VGA - high glossy black";109.64;
E919832;"Elo 1929LM - LED monitor - 1.3MP - colour - 19"" - touchscreen - 1280 x 1024 - 330 cd/mz - 900:1 - 18 ms - HDMI. VGA. DisplayPort - speakers - black";759.48;
I2781FH;"AOC Style - LCD monitor - 27"" - 1920 x 1080 Full HD (1080p) - AH-IPS - 250 cd/mz - 1000:1 - 4 ms - 2xHDMI. VGA - black";174.76;
24MP58VQ-P.AEU;"LG 24MP58VQ-P - LED monitor - 24"" (23.8"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - HDMI. DVI. VGA - black";119.28;
276E7QDAB/00;"Philips E-line 276E7QDAB - LED monitor - 27"" - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/mz - 1000:1 - 5 ms - DVI-D. VGA. HDMI (MHL) - speakers - glossy black";184.57;
Q2577PWQ;"AOC Pro-line Q2577PWQ - LED monitor - 25"" (25"" viewable) - 2560 x 1440 - IPS - 350 cd/mz - 1000:1 - 5 ms - HDMI. MHL. DVI. DisplayPort. VGA - black/silver";277.24;
210-AIDU;"Dell P4317Q - LED monitor - 43"" (42.51"" viewable) - 3840 x 2160 4K - IPS - 350 cd/mz - 1000:1 - 8 ms - 2xHDMI(MHL). VGA. DisplayPort. Mini DisplayPort - speakers";742.17;
PF220W1B;"3M Privacy Filter for 22"" Widescreen Monitor - Display privacy filter - 22"" wide - black";120.84;
246V5LSB/00;"Philips V-line 246V5LSB - LED monitor - 24"" - 1920 x 1080 Full HD (1080p) - 250 cd/mz - 1000:1 - 5 ms - DVI-D. VGA - textured black. glossy black";110.23;
65BDL4050D/00;"Philips Signage Solutions D-Line 65BDL4050D - 65"" Class (65.5"" viewable) LED display - digital signage - 1080p (Full HD) 1920 x 1080";2.075.30;
ES112;Esperanza ES112 - Display cleaning kit;2.79;
220V4LSB/00;"Philips V-line 220V4LSB - LED monitor - 22"" - 1680 x 1050 - 250 cd/mz - 1000:1 - 5 ms - DVI-D. VGA - textured black. glossy black";115.3;
