60003723;"NEC MultiSync X554UNV - 55"" Class - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - direct-lit LED";3519.55;4258.66;;;1999;60003723
60003725;"NEC MultiSync E325 - 32"" Class LED display - digital signage / hospitality - 720p 1366 x 768 - direct-lit LED - black";462.14;559.19;;;2000;60003725
60003726;"NEC MultiSync E425 - 42"" Class - E Series LED display - digital signage / hospitality - 1080p (Full HD) 1920 x 1080 - direct-lit LED - black";695.64;841.72;;;2001;60003726
60003727;"NEC MultiSync E505 - 50"" Class - E Series LED display - digital signage / hospitality - 1080p (Full HD) 1920 x 1080 - direct-lit LED";1068.83;1293.28;;;2002;60003727
60003728;"NEC MultiSync E585 - 58"" Class - E Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - direct-lit LED - black";1490.91;1804;;;2003;60003728
60003766;"NEC MultiSync P801 SST - 80"" Class - P Series LED display - digital signage - with touchscreen - 1080p (Full HD) 1920 x 1080 - edge-lit";15777.27;19090.5;;;2004;60003766
60003767;"NEC MultiSync P403 SST - 40"" Class - P Series LED display - digital signage - with touchscreen - 1080p (Full HD) 1920 x 1080 - edge-lit";4005;4846.05;;;2005;60003767
60003768;"NEC MultiSync P463 SST - 46"" Class - P Series LED display - digital signage - with touchscreen - 1080p (Full HD) 1920 x 1080 - edge-lit";4673.18;5654.55;;;2006;60003768
60003769;"NEC MultiSync P553 SST - 55"" Class - P Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";5704.09;6901.95;;;1985;60003769
60003790;"NEC MultiSync X464UN-2 - 46"" Class - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - direct-lit LED";3932.03;4757.76;;;1984;60003790
60003791;"NEC MultiSync X464UNV-2 - 46"" Class - X Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - direct-lit LED";2305.91;2790.15;;;1983;60003791
60003804;"NEC MultiSync E203Wi - LED monitor - 20"" - 1600 x 900 - IPS - 250 cd/m2 - 1000:1 - 6 ms - DVI-D, VGA, DisplayPort - black";158.13;191.34;;;1971;60003804
60003805;"NEC MultiSync E203Wi - LED monitor - 20"" - 1600 x 900 - IPS - 250 cd/m2 - 1000:1 - 6 ms - DVI-D, VGA, DisplayPort - white";158.13;191.34;;;1962;60003805
60003806;"NEC MultiSync E233WM - LED monitor - 23"" - 1920 x 1080 Full HD (1080p) - TN - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA, DisplayPort - speakers - black";208.74;252.58;;;1963;60003806
60003807;"NEC MultiSync E233WM - LED monitor - 23"" - 1920 x 1080 Full HD (1080p) - TN - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA, DisplayPort - speakers - white";208.74;252.58;;;1964;60003807
60003810;"NEC AccuSync AS242W - LED monitor - 24"" (24"" viewable) - 1920 x 1080 Full HD (1080p) - TN - 250 cd/m2 - 1000:1 - 5 ms - DVI-D, VGA - black";176.88;214.02;;;1965;60003810
60003811;"NEC MultiSync EA245WMi - LED monitor - 24"" (24"" viewable) - 1920 x 1200 - AH-IPS - 350 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - black";359.28;434.73;;;1966;60003811
60003812;"NEC MultiSync EA245WMi - LED monitor - 24"" (24"" viewable) - 1920 x 1200 - AH-IPS - 350 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - white";425.05;514.31;;;1967;60003812
60003813;"NEC MultiSync EA275WMi - LED monitor - 27"" - 2560 x 1440 - IPS - 350 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-I, DisplayPort - speakers - black";637.59;771.48;;;1968;60003813
60003814;"NEC MultiSync EA275WMi - LED monitor - 27"" - 2560 x 1440 - IPS - 350 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-I, DisplayPort - speakers - white";637.59;771.48;;;1969;60003814
60003817;"NEC MultiSync EA295WMi - LED monitor - 29"" (29"" viewable) - 2560 x 1080 - IPS - 300 cd/m2 - 1000:1 - 6 ms - 2xHDMI, VGA, DisplayPort - speakers - black";552.83;668.92;;;1970;60003817
60003818;"NEC MultiSync EA295WMi - LED monitor - 29"" - 2560 x 1080 - IPS - 300 cd/m2 - 1000:1 - 6 ms - 2xHDMI, VGA, DisplayPort - speakers - white";552.83;668.92;;;1972;60003818
60003819;"NEC MultiSync EA305WMi - LED monitor - 30"" - 2560 x 1600 - AH-IPS - 350 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, DisplayPort - speakers - black";1457.66;1763.77;;;1982;60003819
60003820;"NEC MultiSync EA305WMi - LED monitor - 30"" - 2560 x 1600 - AH-IPS - 350 cd/m2 - 1000:1 - 6 ms - HDMI, DVI-D, DisplayPort - speakers - white";1457.66;1763.77;;;1973;60003820
60003838;"NEC MultiSync P232W - LED monitor - 23"" (23"" viewable) - 1920 x 1080 Full HD (1080p) - IPS - 250 cd/m2 - 1000:1 - 8 ms - HDMI, DVI-D, VGA, DisplayPort - black";545.24;659.74;;;1974;60003838
60003849;"NEC MultiSync V323-2 - 32"" Class (31.5"" viewable) - V Series LED display - digital signage - 1080p (Full HD) 1920 x 1080 - edge-lit - black";898.7;1087.43;;;1975;60003849
60003860;"NEC MultiSync PA243W - LED monitor - 24"" - 1920 x 1200 WUXGA - AH-IPS - 350 cd/m2 - 1000:1 - 8 ms - HDMI, DVI-D, VGA, DisplayPort - black";805.84;975.07;;;1976;60003860
60003862;"NEC MultiSync P212 - LED monitor - 21.3"" (21.3"" viewable) - 1600 x 1200 - IPS - 440 cd/m2 - 1500:1 - 8 ms - HDMI, DVI-D, VGA, DisplayPort - speakers - black";803.64;972.4;;;1977;60003862
60003865;"NEC MultiSync EA275UHD - LED monitor - 27"" - 3840 x 2160 4K UHD (2160p) - IPS - 350 cd/m2 - 1000:1 - 5 ms - HDMI, DVI-D, DisplayPort - speakers - black";794.46;961.3;;;1978;60003865
